title,link
New ListingNVIDIA GeForce FX5200 128MB AGP s-video VGA Video Graphics Card,https://www.ebay.ca/itm/226179067441?hash=item34a952ae31:g:nhkAAOSw0t5mYKya&itmprp=enc%3AAQAJAAAA4B31GF5lJRxh%2FPtyc8bXtAmmf8xjwsrdHKwecLV7Mfo%2BiyQbxYkWkofZNH0PhXY4vfK4eL8GRsfQ8X%2ByxSVwzuY1l6a216GJQoYtOO1%2FT80wsdHt9fmEhYyeGJkw8V40yNsIlq9BhM0JYd3e6rG8bROgqD3yd0haK0OeFz0LwDR3KRrGwirzAH4xE%2Fbcj1e1OK4SmqclkW%2F7pZWLs6DCRIQW4Z%2FfJZ%2FDW4%2B%2FrUTPN72SD%2F6lJNKKMizXp695Z8Q8QqI2GR%2B6MQMbi24JavOcNcjOkLxaa%2B2HQKZNEPwpS%2F4z%7Ctkp%3ABk9SR7TH3K_9Yw
"Gigabyte GeForce RTX 3070 8GB GDDR6 Graphics Card - HDMI, DisplayPort",https://www.ebay.ca/itm/186399415995?hash=item2b66455ebb:g:Bu8AAOSwRD5mIUxd&itmprp=enc%3AAQAJAAAAwIbVsZhwpze9E3gyFeJqg4GRnAkVnP5nnFo%2FtZ9W8rUyMDjI5doiR9ef9tC0U2y5OT9ukhnNvJMln6hMsg7E0dlHiDUEY5MR1POZfxo1VveFVY0ypg2iFV6zuliu2gguIPalhLItY6tu9LzoICgPbKrqDnDSRp3kgvdj%2F1vs00CT5yAlmnF16p4r6jMX4y9%2F5nZoYLB0skzDlFdSfcqNrqWxT208HxUDbvADNKAzx7iL7sEjVrBsWxclRdSV7H4GSA%3D%3D%7Ctkp%3ABk9SR7TH3K_9Yw
New ListingMSi GeForce GTX 1060 Gaming X 6G Gaming Graphics Card,https://www.ebay.ca/itm/355769656669?hash=item52d586255d:g:tMkAAOSwGRpmYOC~&itmprp=enc%3AAQAJAAAA4LT9wDIplltqrh3nplQ6J%2FvfOmAG4SJ%2FuoA0So7XgDbdIIinlTeIzf%2FXYAlSI%2FCUBCMushwJt25jWiRPHy6rruWSCsYcZOxuwfraxpIIj82LMC9xGsqr1cN%2FXSbE%2Ft0HL%2F6MwqVj%2BRaQcxl5hA%2FSjnnL7u2P9Z%2FYZ5ZVOG7qzK%2FYc540SDVJBnVkzXi4JU6lO0puzEUkVBCbmkJ7Wr4Xf7LzWlUm8ZvrqMXYZnd%2FXCm5f4Uq%2BUtrcpE25q0RhHWqxFgbwsNpRQoKI9wD0aI0%2BXF1uK7pBNf5nQtKteCbzzUZ%7Ctkp%3ABk9SR7TH3K_9Yw
EVGA GEFORCE GTX 670 4G-P4-2673-KR GRAPHICS CARD,https://www.ebay.ca/itm/234721219404?hash=item36a679934c:g:glUAAOSw06NjPFly&itmprp=enc%3AAQAJAAAAwIQROxuJhsLph9PXBhtEGMfflufd27DtT1Kx%2Fs39hL6fYsIfK7FDa2p7opmJFhgl4B6ToOZ6JcweP7N4e7Zlj1DhM8rdQNf3yI1ubB06iQvn1t5SfSjnESicNhxZLSuH59JIydY8GmW1uMLF%2BMhd%2BokE%2F8d1EauJOK7idld6o6tvIR2Z0Xvtb7OnS7GKB9s3biaZTeVKxChF8k5AKCo3D7Xy7dFqHhLuQDpJYKe8wR2o1ErLjvseto%2Fhsiu1q%2BWI8g%3D%3D%7Ctkp%3ABk9SR7TH3K_9Yw
ASUS Phoenix GeForce GTX 1660 Ti OC Mini ITX GPU graphics card ,https://www.ebay.ca/itm/296480419152?hash=item45079c2d50:g:pJ4AAOSwmFRmX6us&itmprp=enc%3AAQAJAAAA4KyVrF8Sgc9rrfRH9UDfsHHhtJWaFpTbdMntVpgcZiSZTEBr%2FmExnuphHqUBMfpEgocLMUjwjGyKYllf1icBabnzGp4SQ9zrnWo9v%2BB8GaORMUNF0enU8GJRJ8u6QfKtEGp8AwvsnGGs6p29XZmnBeQv5SHyhps2zlYs9ZxtcuRQi5PgES3zXUi%2BVFH5DIBotiapGA6cksbnx2bIRu1IUDaiO0kfgp%2Fdww%2BxEbPqeVqgUDL5CT%2FoNhS9Ypu6GoZXkSsf4dy4OKd2eiMeyqkqWYuWVQKifigovYufgRgA4Tht%7Ctkp%3ABk9SR7TH3K_9Yw
AMD Radeon PRO W5500 Workstation Graphics Card 8GB PCI-E w/4 x Display Port 1.4,https://www.ebay.ca/itm/235503271090?hash=item36d516bcb2:g:GMcAAOSwjy5kqda5&itmprp=enc%3AAQAJAAAA4P4AM4jmTHwaPn3npHOMksV2uW3VRD4P01inlnR3gdgPLMz47ckM1hfUg%2FoPipwTGVZbCJOwSlXv6ygN65AlZUdw03QIDDAfSGrqg73SPCRRYa3iZkqrsKdxCsa0xWQuMGraSa2DnDsi3JKAtmtWvif2NFyFpTh2paEztUbam%2F%2B0KZjoKaYczSwAciD3FregvPSLa45QxyC6QG8aNeHU3Pz3QE%2B%2Fd44LbJWj1ZLozUzFNeB%2BGgGXAwCv2EV6p9c0DGBR%2FFAmznu3DecveoqjjqVKb14TdPcEyZRetfUIlP17%7Ctkp%3ABk9SR7TH3K_9Yw
New ListingMSI GeForce GTX 1660 Super Ventus XS OC EDITION 6GB GDDR6 Graphics Card,https://www.ebay.ca/itm/196428519095?epid=10035085338&hash=item2dbc0d56b7:g:nOsAAOSwHo9mUO48&itmprp=enc%3AAQAJAAAAwJDGiykI0v1tIeY%2Fs0n8Fmlugnmtz8ayF%2FJvbIW2hAqr6MovJSp20BQHNDbqcys%2B6o%2BB7ykWK6cnq59FfBndxR2kfm%2F7AyRpjkWWLVE0icxvXjkVgl2xXzFKVORpkBQ%2F6coxgGIGdBIYSZMHXyPwVIoNZIMO8KvgbbyH0fN0bmcg9%2BaNZKVHx48AOLWD8a2a3fqoTU44w%2BWRmjvgdIBEOG%2B2zQNMfNHmC7EOW8SRfMbGJRzTawjjfqtDptVHAjRFNw%3D%3D%7Ctkp%3ABk9SR7TH3K_9Yw
LOT OF 2X EVGA GEFORCE GTX 670 4G-P4-2673-KR GRAPHICS CARD,https://www.ebay.ca/itm/335406714373?hash=item4e17cc4e05:g:j3EAAOSw93BmT3BX&itmprp=enc%3AAQAJAAAAwP4%2FcA5qKnMFrpI0rI6TV453NVsPCJUQaGKNPaCIXvz1OFyNbhAS6w3OFAf6sIOJm0YqeIizhwEQ1ilNFaPAS42KyOnldUssTE5SynXnu3F%2BDYrWtE%2FEkEUF5zMoNtAEzig2pOwY4Fp5yaUXbd7zI924M9SuUKrdpqSHzI%2F4TeQIlwCDhv5m6YjSzVGI%2BclzuPypT3l7f9xqiT6PDtWkW%2F%2BnDE6aY%2BnpNBQ9k8sV2jSF2xU406nd2boIHwg09YY8Yw%3D%3D%7Ctkp%3ABk9SR7TH3K_9Yw
GIGABYTE GeForce RTX 3060 Vision OC 12G Graphics Card - No Box/Cords,https://www.ebay.ca/itm/315415303590?hash=item49703795a6:g:pgsAAOSwDvpmXwGV&itmprp=enc%3AAQAJAAAA4G5Mnd5E6OBZ7Uosm4GyZI5%2FRhPICxAPl7ynQRBT3zdcqFQW0EqXLSUMYgqW87SbTIvk7RZEgSqLS0gzm%2BD6t78B%2BIEI831AZEO5JJEJUhN32YnwXc62mkK0Mv%2BU8IzMQjNK2Iph0%2BwnOzpvU7Qrp%2F%2B8IjNhEfkI4H5579JvZGht02cBcHizfkLoJ3jy3SAsPA6P38P3PMsWAbrB1lTDAu550RRXLLOK326zfFTIoDInWpaf%2FB%2FxGiuQ2DCttohb2h5oEJD0s3VT78x9gzdlTdVlZ0lfqJXl7UYeLyQgEZ2W%7Ctkp%3ABFBMtMfcr_1j
HP NVIDIA GEFORCE RTX 4060 OEM GRAPHICS CARD | 8GB GDDR6,https://www.ebay.ca/itm/266843395403?hash=item3e211b154b:g:LYsAAOSwlvdmXgxj&itmprp=enc%3AAQAJAAAA4HI9YlvRDDULQhRhptbxbeGE4gL0LFAKdAnJzCmF80FdtroiJZbmAwWE4n3l4dMWmUQwVtl55SYHVNR63nzKmqcD2aYeoFaR%2BSWjOZtVLgg8G4a2CyAG%2BNuvTKcE4pDj1sVNUv8xzk1ZxKC0c2C3%2B5yvoKyGye9rjPNVwx3fVBJiaGdu54fhOgOLH%2BvK4pFVzhRFvjosZwrbvUkzpwERO7kzOWN23AIZK423IQvY2drC7p30E5zchWy5K%2FLpa%2FQ223469EuZg4qIOYSNExP9ykgZc3fhh%2FVoDpj1gd4L8ua2%7Ctkp%3ABFBMtsfcr_1j
